国名（日本語）,code3,輸出1位_品目,輸出2位_品目,輸出3位_品目,輸出4位_品目,輸出5位_品目,輸出6位_品目,輸出7位_品目,輸出8位_品目,輸出9位_品目,輸出10位_品目,輸入1位_品目,輸入2位_品目,輸入3位_品目,輸入4位_品目,輸入5位_品目,輸入6位_品目,輸入7位_品目,輸入8位_品目,輸入9位_品目,輸入10位_品目,貿易相手1位_国名,貿易相手1位_シェア%,貿易相手2位_国名,貿易相手2位_シェア%,貿易相手3位_国名,貿易相手3位_シェア%,貿易相手4位_国名,貿易相手4位_シェア%,貿易相手5位_国名,貿易相手5位_シェア%,貿易相手6位_国名,貿易相手6位_シェア%,貿易相手7位_国名,貿易相手7位_シェア%,貿易相手8位_国名,貿易相手8位_シェア%,貿易相手9位_国名,貿易相手9位_シェア%,貿易相手10位_国名,貿易相手10位_シェア%,貿易統計_年,貿易統計_出典
ガンビア,GMB,採油用種子・果実・藁,鉱物燃料・エネルギー（原油・石炭等）,糖類・砂糖菓子,果実・ナッツ,一般機械・原子炉・ボイラー等,魚介類・甲殻類,自動車・同部品,塩・硫黄・土石類・セメント,食品工業廃棄物・飼料,精油・香料・化粧品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,穀物,塩・硫黄・土石類・セメント,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,肥料,動物性・植物性油脂,鉄鋼,糖類・砂糖菓子,"Kazakhstan, Republic of",97.8%,Mali,0.7%,Guinea-Bissau,0.4%,中国,0.4%,インド,0.1%,"Micronesia, Federated States of",0.1%,ベルギー,0.1%,イギリス,0.1%,Senegal,0.0%,スペイン,0.0%,2024,UN Comtrade / IMF DOTS (2024年)
ドイツ,DEU,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,光学機器・写真用機器・医療用機器,プラスチック・同製品,航空機・宇宙船・同部品,特殊取扱品（その他）,鉄鋼製品,各種化学工業生産品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,医薬品,光学機器・写真用機器・医療用機器,プラスチック・同製品,有機化学品,鉄鋼製品,鉄鋼,アメリカ,9.5%,フランス,7.6%,オランダ,7.3%,ポーランド,6.5%,イタリア,5.4%,中国,5.3%,オーストリア,5.2%,イギリス,5.2%,スイス,4.8%,スペイン,3.8%,2025,UN Comtrade / IMF DOTS (2025年)
ギリシャ,GRC,鉱物燃料・エネルギー（原油・石炭等）,医薬品,アルミニウム・同製品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,野菜・果実等の調製品,果実・ナッツ,プラスチック・同製品,酪農品・鳥卵・蜂蜜,動物性・植物性油脂,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,医薬品,プラスチック・同製品,有機化学品,鉄鋼,アルミニウム・同製品,肉・食用屑,イタリア,9.2%,ドイツ,7.8%,Cyprus,6.9%,ブルガリア,6.5%,アメリカ,5.0%,ルーマニア,4.3%,イギリス,4.1%,スペイン,3.4%,フランス,3.2%,トルコ,2.8%,2024,UN Comtrade / IMF DOTS (2024年)
グレナダ,GRD,穀粉・でん粉・麦芽,飲料・アルコール・酢,食品工業廃棄物・飼料,自動車・同部品,なめし・染色エキス・塗料・インキ,コーヒー・茶・スパイス,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,魚介類・甲殻類,紙・板紙・製品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,肉・食用屑,プラスチック・同製品,木材・木製品・木炭,各種調製食料品,鉄鋼製品,飲料・アルコール・酢,イギリス,28.9%,アメリカ,12.3%,Trinidad and Tobago,8.5%,St. Lucia,7.2%,St. Vincent and the Grenadines,7.1%,Antigua and Barbuda,4.7%,中国,3.9%,フランス,3.3%,ドイツ,3.1%,Barbados,2.9%,2024,UN Comtrade / IMF DOTS (2024年)
グアテマラ,GTM,果実・ナッツ,衣類・衣類付属品（編物）,コーヒー・茶・スパイス,糖類・砂糖菓子,動物性・植物性油脂,プラスチック・同製品,紙・板紙・製品,鉱物燃料・エネルギー（原油・石炭等）,医薬品,各種調製食料品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,医薬品,各種調製食料品,穀物,紙・板紙・製品,アメリカ,35.1%,El Salvador,12.9%,Honduras,9.1%,Nicaragua,5.9%,オランダ,5.7%,メキシコ,4.4%,Costa Rica,4.0%,Dominican Republic,1.9%,Panama,1.8%,台湾,1.7%,2024,UN Comtrade / IMF DOTS (2024年)
ガイアナ,GUY,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,鉄道車両・軌道部品・交通信号機,船舶・浮体構造物,穀物,鉱石・スラグ・灰,一般機械・原子炉・ボイラー等,魚介類・甲殻類,光学機器・写真用機器・医療用機器,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,船舶・浮体構造物,鉱物燃料・エネルギー（原油・石炭等）,鉄鋼製品,自動車・同部品,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,プラスチック・同製品,塩・硫黄・土石類・セメント,鉄鋼,Trinidad and Tobago,24.6%,イギリス,17.3%,アメリカ,15.6%,オランダ,11.3%,Panama,4.7%,ドイツ,3.3%,イタリア,2.9%,スウェーデン,2.6%,ポーランド,2.1%,Barbados,2.1%,2025,UN Comtrade / IMF DOTS (2025年)
ホンジュラス,HND,電気機器・録音機・テレビ等,コーヒー・茶・スパイス,動物性・植物性油脂,果実・ナッツ,魚介類・甲殻類,プラスチック・同製品,真珠・貴金属・宝石・装飾品,たばこ・製造たばこ代用品,糖類・砂糖菓子,穀物・粉製品・製菓,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,鉄鋼,各種調製食料品,穀物,紙・板紙・製品,アメリカ,32.9%,Guatemala,8.3%,El Salvador,7.4%,ドイツ,7.3%,Nicaragua,4.9%,オランダ,4.5%,ベルギー,4.3%,メキシコ,3.8%,イギリス,2.7%,Dominican Republic,2.4%,2024,UN Comtrade / IMF DOTS (2024年)
香港,HKG,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,時計・同部品,美術品・収集品・骨とう,プラスチック・同製品,精油・香料・化粧品,航空機・宇宙船・同部品,衣類・衣類付属品（編物）,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,時計・同部品,美術品・収集品・骨とう,精油・香料・化粧品,プラスチック・同製品,航空機・宇宙船・同部品,中国,60.0%,アメリカ,5.9%,ベトナム,3.6%,台湾,3.5%,インド,2.7%,タイ,2.5%,アラブ首長国連邦,2.1%,日本,1.6%,シンガポール,1.5%,イギリス,1.5%,2025,UN Comtrade / IMF DOTS (2025年)
ハンガリー,HUN,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,医薬品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,光学機器・写真用機器・医療用機器,ゴム・同製品,食品工業廃棄物・飼料,鉄鋼製品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,医薬品,プラスチック・同製品,鉄鋼製品,光学機器・写真用機器・医療用機器,各種化学工業生産品,鉄鋼,ドイツ,25.0%,ルーマニア,5.7%,ポーランド,4.9%,イタリア,4.8%,スロバキア,4.7%,チェコ,4.3%,オーストリア,4.1%,アメリカ,3.9%,フランス,3.8%,オランダ,3.7%,2025,UN Comtrade / IMF DOTS (2025年)
アイスランド,ISL,魚介類・甲殻類,アルミニウム・同製品,光学機器・写真用機器・医療用機器,食品工業廃棄物・飼料,鉄鋼,動物性・植物性油脂,一般機械・原子炉・ボイラー等,医薬品,鉱物燃料・エネルギー（原油・石炭等）,肉・魚介類の調製品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,無機化学品・貴金属化合物,家具・寝具・照明器具・プレハブ建築,プラスチック・同製品,医薬品,鉄鋼製品,光学機器・写真用機器・医療用機器,オランダ,34.3%,イギリス,9.9%,アメリカ,9.2%,フランス,7.3%,スペイン,5.2%,ドイツ,4.4%,ノルウェー,3.6%,ポーランド,3.0%,中国,2.8%,"Lithuania, Republic of",2.7%,2025,UN Comtrade / IMF DOTS (2025年)
インドネシア,IDN,鉱物燃料・エネルギー（原油・石炭等）,動物性・植物性油脂,鉄鋼,電気機器・録音機・テレビ等,自動車・同部品,真珠・貴金属・宝石・装飾品,ニッケル・同製品,各種化学工業生産品,履物・ゲートル同製品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,プラスチック・同製品,自動車・同部品,鉄鋼,有機化学品,穀物,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,中国,25.9%,アメリカ,11.5%,インド,6.9%,日本,5.9%,シンガポール,5.3%,マレーシア,4.6%,ベトナム,3.6%,フィリピン,3.5%,韓国,3.5%,タイ,2.7%,2025,UN Comtrade / IMF DOTS (2025年)
アイルランド,IRL,医薬品,有機化学品,光学機器・写真用機器・医療用機器,電気機器・録音機・テレビ等,精油・香料・化粧品,一般機械・原子炉・ボイラー等,航空機・宇宙船・同部品,各種化学工業生産品,酪農品・鳥卵・蜂蜜,肉・食用屑,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,医薬品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,自動車・同部品,光学機器・写真用機器・医療用機器,プラスチック・同製品,精油・香料・化粧品,アメリカ,42.8%,オランダ,10.0%,イギリス,8.0%,ベルギー,6.1%,ドイツ,5.9%,中国,3.2%,イタリア,2.8%,フランス,2.2%,スペイン,1.6%,日本,1.5%,2024,UN Comtrade / IMF DOTS (2024年)
イスラエル,ISR,電気機器・録音機・テレビ等,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,各種化学工業生産品,武器・弾薬・同部品,航空機・宇宙船・同部品,医薬品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,医薬品,真珠・貴金属・宝石・装飾品,プラスチック・同製品,特殊取扱品（その他）,鉄鋼,アメリカ,30.7%,ドイツ,5.8%,中国,5.3%,オランダ,5.1%,インド,4.7%,香港,3.8%,アイルランド,2.9%,イギリス,2.9%,フランス,2.6%,ベルギー,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
イタリア,ITA,一般機械・原子炉・ボイラー等,医薬品,自動車・同部品,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,プラスチック・同製品,鉄鋼製品,鉱物燃料・エネルギー（原油・石炭等）,光学機器・写真用機器・医療用機器,衣類・衣類付属品（織物）,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,有機化学品,医薬品,プラスチック・同製品,鉄鋼,真珠・貴金属・宝石・装飾品,光学機器・写真用機器・医療用機器,ドイツ,11.5%,アメリカ,11.1%,フランス,10.3%,スペイン,6.1%,スイス,5.6%,イギリス,4.3%,ポーランド,3.3%,ベルギー,3.2%,オランダ,3.0%,中国,2.3%,2025,UN Comtrade / IMF DOTS (2025年)
コートジボワール,CIV,ココア・ココア調製品,真珠・貴金属・宝石・装飾品,鉱物燃料・エネルギー（原油・石炭等）,ゴム・同製品,果実・ナッツ,動物性・植物性油脂,綿・綿織物,精油・香料・化粧品,プラスチック・同製品,各種調製食料品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,自動車・同部品,魚介類・甲殻類,電気機器・録音機・テレビ等,プラスチック・同製品,医薬品,鉄鋼製品,鉄鋼,,,,,,,,,,,,,,,,,,,,,2024,UN Comtrade / IMF DOTS (2024年)
ジャマイカ,JAM,無機化学品・貴金属化合物,鉱物燃料・エネルギー（原油・石炭等）,飲料・アルコール・酢,鉱石・スラグ・灰,各種調製食料品,食用の野菜・根菜,穀物・粉製品・製菓,野菜・果実等の調製品,コーヒー・茶・スパイス,鉄鋼,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,プラスチック・同製品,各種調製食料品,医薬品,穀物,飲料・アルコール・酢,野菜・果実等の調製品,アメリカ,46.4%,オランダ,7.7%,カナダ,7.5%,ロシア,6.0%,Iceland,5.7%,フランス,4.4%,イギリス,3.5%,Trinidad and Tobago,2.0%,中国,1.6%,ガーナ,1.4%,2024,UN Comtrade / IMF DOTS (2024年)
日本,JPN,自動車・同部品,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,特殊取扱品（その他）,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,鉄鋼,プラスチック・同製品,銅・同製品,有機化学品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,医薬品,光学機器・写真用機器・医療用機器,鉱石・スラグ・灰,自動車・同部品,プラスチック・同製品,真珠・貴金属・宝石・装飾品,有機化学品,アメリカ,18.6%,中国,17.1%,台湾,7.2%,韓国,6.3%,香港,5.8%,タイ,3.8%,シンガポール,2.9%,インド,2.6%,ベトナム,2.6%,ドイツ,2.5%,2025,UN Comtrade / IMF DOTS (2025年)
カザフスタン,KAZ,鉱物燃料・エネルギー（原油・石炭等）,無機化学品・貴金属化合物,鉱石・スラグ・灰,鉄鋼,銅・同製品,一般機械・原子炉・ボイラー等,穀物,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,自動車・同部品,電気機器・録音機・テレビ等,鉄鋼製品,医薬品,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,航空機・宇宙船・同部品,鉄鋼,光学機器・写真用機器・医療用機器,イタリア,22.0%,中国,16.0%,ロシア,12.2%,フランス,8.0%,オランダ,7.4%,トルコ,4.3%,"Uzbekistan, Republic of",4.0%,ギリシャ,3.4%,ルーマニア,2.9%,スペイン,1.6%,2024,UN Comtrade / IMF DOTS (2024年)
ヨルダン,JOR,衣類・衣類付属品（編物）,肥料,無機化学品・貴金属化合物,真珠・貴金属・宝石・装飾品,医薬品,塩・硫黄・土石類・セメント,果実・ナッツ,石けん・有機界面活性剤・ワックス,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,特殊取扱品（その他）,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,穀物,プラスチック・同製品,医薬品,メリヤス編物・クロセ編物,アメリカ,25.1%,サウジアラビア,11.1%,インド,10.8%,イラク,10.1%,イタリア,4.4%,中国,3.4%,スイス,3.2%,アラブ首長国連邦,3.1%,シリア,2.9%,"Egypt, Arab Republic of",2.2%,2024,UN Comtrade / IMF DOTS (2024年)
ケニア,KEN,コーヒー・茶・スパイス,鉱物燃料・エネルギー（原油・石炭等）,生花・盆栽・苗木,動物性・植物性油脂,果実・ナッツ,食用の野菜・根菜,衣類・衣類付属品（編物）,塩・硫黄・土石類・セメント,衣類・衣類付属品（織物）,医薬品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,穀物,自動車・同部品,電気機器・録音機・テレビ等,動物性・植物性油脂,プラスチック・同製品,鉄鋼,医薬品,各種化学工業生産品,Uganda,11.9%,アラブ首長国連邦,9.9%,アメリカ,8.7%,パキスタン,6.8%,イギリス,6.1%,"Tanzania, United Republic of",6.1%,オランダ,5.7%,Rwanda,4.0%,"Congo, Democratic Republic of the",3.0%,"South Sudan, Republic of",2.9%,2024,UN Comtrade / IMF DOTS (2024年)
韓国,KOR,電気機器・録音機・テレビ等,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,船舶・浮体構造物,鉄鋼,有機化学品,光学機器・写真用機器・医療用機器,精油・香料・化粧品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,光学機器・写真用機器・医療用機器,自動車・同部品,鉱石・スラグ・灰,有機化学品,プラスチック・同製品,鉄鋼,無機化学品・貴金属化合物,中国,18.5%,アメリカ,17.4%,ベトナム,8.9%,台湾,6.9%,香港,4.9%,日本,4.0%,シンガポール,2.8%,インド,2.7%,オーストラリア,2.0%,マレーシア,1.7%,2025,UN Comtrade / IMF DOTS (2025年)
クウェート,KWT,鉱物燃料・エネルギー（原油・石炭等）,有機化学品,自動車・同部品,プラスチック・同製品,電気機器・録音機・テレビ等,真珠・貴金属・宝石・装飾品,一般機械・原子炉・ボイラー等,精油・香料・化粧品,酪農品・鳥卵・蜂蜜,鉄鋼製品,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,真珠・貴金属・宝石・装飾品,医薬品,特殊取扱品（その他）,鉄鋼製品,衣類・衣類付属品（編物）,肉・食用屑,光学機器・写真用機器・医療用機器,インド,19.8%,アラブ首長国連邦,18.3%,サウジアラビア,12.4%,イラク,11.7%,中国,9.0%,パキスタン,3.7%,カタール,2.8%,Cyprus,2.0%,マレーシア,1.9%,Jordan,1.9%,2024,UN Comtrade / IMF DOTS (2024年)
キルギス,KGZ,真珠・貴金属・宝石・装飾品,鉱石・スラグ・灰,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,食用の野菜・根菜,履物・ゲートル同製品,自動車・同部品,プラスチック・同製品,他の紡織用繊維 of products (セット・古衣類),一般機械・原子炉・ボイラー等,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,鉄鋼,プラスチック・同製品,医薬品,鉄鋼製品,光学機器・写真用機器・医療用機器,果実・ナッツ,ロシア,36.2%,イギリス,23.0%,ベルギー,12.1%,"Uzbekistan, Republic of",9.1%,"Kazakhstan, Republic of",8.2%,アラブ首長国連邦,3.3%,中国,2.0%,"Afghanistan, Islamic Republic of",1.9%,トルコ,1.4%,ベラルーシ,0.5%,2025,UN Comtrade / IMF DOTS (2025年)
レバノン,LBN,自動車・同部品,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,鉄鋼,野菜・果実等の調製品,銅・同製品,各種調製食料品,プラスチック・同製品,鉱物燃料・エネルギー（原油・石炭等）,真珠・貴金属・宝石・装飾品,自動車・同部品,医薬品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,プラスチック・同製品,鉄鋼,穀物,動物（生体）,アラブ首長国連邦,22.9%,トルコ,9.2%,"Egypt, Arab Republic of",7.6%,イラク,4.3%,アメリカ,4.1%,ギリシャ,3.0%,Jordan,2.5%,スペイン,2.3%,イタリア,2.2%,クウェート,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
レソト,LSO,真珠・貴金属・宝石・装飾品,飲料・アルコール・酢,衣類・衣類付属品（編物）,衣類・衣類付属品（織物）,羊毛・粗毛・馬毛糸・織物,電気機器・録音機・テレビ等,他の紡織用繊維 of products (セット・古衣類),一般機械・原子炉・ボイラー等,綿・綿織物,穀粉・でん粉・麦芽,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,メリヤス編物・クロセ編物,穀物,鉄鋼製品,穀粉・でん粉・麦芽,飲料・アルコール・酢,プラスチック・同製品,アメリカ,51.7%,ベルギー,37.8%,カナダ,2.1%,"Eswatini, Kingdom of",2.0%,ドイツ,2.0%,"Egypt, Arab Republic of",0.7%,Botswana,0.7%,イギリス,0.4%,アラブ首長国連邦,0.4%,インドネシア,0.3%,2024,UN Comtrade / IMF DOTS (2024年)
ラトビア,LVA,木材・木製品・木炭,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,飲料・アルコール・酢,医薬品,穀物,酪農品・鳥卵・蜂蜜,鉄鋼製品,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,一般機械・原子炉・ボイラー等,医薬品,プラスチック・同製品,飲料・アルコール・酢,木材・木製品・木炭,鉄鋼製品,鉄鋼,"Lithuania, Republic of",18.6%,"Estonia, Republic of",11.4%,ドイツ,6.7%,イギリス,5.5%,スウェーデン,5.2%,ロシア,5.2%,ポーランド,4.7%,デンマーク,3.9%,オランダ,3.2%,フィンランド,3.0%,2025,UN Comtrade / IMF DOTS (2025年)
リトアニア,LTU,鉱物燃料・エネルギー（原油・石炭等）,電気機器・録音機・テレビ等,家具・寝具・照明器具・プレハブ建築,自動車・同部品,プラスチック・同製品,一般機械・原子炉・ボイラー等,木材・木製品・木炭,医薬品,光学機器・写真用機器・医療用機器,各種化学工業生産品,鉱物燃料・エネルギー（原油・石炭等）,自動車・同部品,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,医薬品,プラスチック・同製品,鉄鋼製品,鉄鋼,光学機器・写真用機器・医療用機器,木材・木製品・木炭,"Latvia, Republic of",12.5%,ポーランド,10.3%,ドイツ,9.0%,オランダ,6.6%,"Estonia, Republic of",6.1%,アメリカ,4.7%,スウェーデン,4.4%,イギリス,4.3%,ウクライナ,4.0%,フランス,2.9%,2025,UN Comtrade / IMF DOTS (2025年)
ルクセンブルク,LUX,一般機械・原子炉・ボイラー等,プラスチック・同製品,自動車・同部品,鉄鋼,鉄鋼製品,ゴム・同製品,酪農品・鳥卵・蜂蜜,電気機器・録音機・テレビ等,アルミニウム・同製品,ウォッディング・フェルト・不織布・紐,自動車・同部品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,プラスチック・同製品,電気機器・録音機・テレビ等,鉄鋼,医薬品,ゴム・同製品,飲料・アルコール・酢,航空機・宇宙船・同部品,ドイツ,25.0%,フランス,19.8%,ベルギー,13.3%,オランダ,6.1%,イタリア,4.1%,スペイン,3.2%,アメリカ,2.7%,ポーランド,2.4%,イギリス,2.3%,オーストリア,2.0%,2025,UN Comtrade / IMF DOTS (2025年)
マカオ,MAC,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,時計・同部品,革製品・旅行用具・ハンドバッグ,衣類・衣類付属品（織物）,履物・ゲートル同製品,一般機械・原子炉・ボイラー等,衣類・衣類付属品（編物）,飲料・アルコール・酢,精油・香料・化粧品,真珠・貴金属・宝石・装飾品,電気機器・録音機・テレビ等,精油・香料・化粧品,革製品・旅行用具・ハンドバッグ,飲料・アルコール・酢,鉱物燃料・エネルギー（原油・石炭等）,時計・同部品,衣類・衣類付属品（編物）,一般機械・原子炉・ボイラー等,魚介類・甲殻類,香港,89.5%,中国,4.0%,アメリカ,1.5%,フィリピン,0.9%,ロシア,0.7%,ベトナム,0.7%,アラブ首長国連邦,0.7%,メキシコ,0.3%,日本,0.2%,オランダ,0.2%,2025,UN Comtrade / IMF DOTS (2025年)
マダガスカル,MDG,ニッケル・同製品,コーヒー・茶・スパイス,衣類・衣類付属品（織物）,鉱石・スラグ・灰,衣類・衣類付属品（編物）,魚介類・甲殻類,真珠・貴金属・宝石・装飾品,塩・硫黄・土石類・セメント,ココア・ココア調製品,精油・香料・化粧品,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,自動車・同部品,穀物,動物性・植物性油脂,医薬品,プラスチック・同製品,メリヤス編物・クロセ編物,塩・硫黄・土石類・セメント,アメリカ,16.3%,フランス,16.2%,日本,12.1%,中国,10.7%,オランダ,9.8%,インド,6.0%,韓国,5.2%,ドイツ,3.2%,ベルギー,2.6%,スペイン,1.3%,2024,UN Comtrade / IMF DOTS (2024年)
マラウイ,MWI,たばこ・製造たばこ代用品,食用の野菜・根菜,コーヒー・茶・スパイス,採油用種子・果実・藁,食品工業廃棄物・飼料,木材・木製品・木炭,果実・ナッツ,肉・食用屑,自動車・同部品,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,肥料,自動車・同部品,電気機器・録音機・テレビ等,医薬品,プラスチック・同製品,他の紡織用繊維 of products (セット・古衣類),書籍・新聞・絵画・印刷物,各種化学工業生産品,ベルギー,16.1%,アメリカ,5.9%,イギリス,5.9%,インド,5.8%,Zimbabwe,5.6%,ドイツ,5.5%,"Egypt, Arab Republic of",5.2%,"Tanzania, United Republic of",5.2%,Kenya,4.1%,トルコ,3.7%,2024,UN Comtrade / IMF DOTS (2024年)
マレーシア,MYS,電気機器・録音機・テレビ等,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,動物性・植物性油脂,光学機器・写真用機器・医療用機器,プラスチック・同製品,アルミニウム・同製品,各種化学工業生産品,ゴム・同製品,鉄鋼,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,鉱物燃料・エネルギー（原油・石炭等）,プラスチック・同製品,自動車・同部品,光学機器・写真用機器・医療用機器,真珠・貴金属・宝石・装飾品,鉄鋼,アルミニウム・同製品,各種化学工業生産品,シンガポール,15.7%,アメリカ,15.1%,中国,9.7%,香港,6.3%,日本,5.2%,台湾,4.9%,タイ,4.0%,インド,3.7%,韓国,3.7%,インドネシア,3.5%,2025,UN Comtrade / IMF DOTS (2025年)
モルディブ,MDV,魚介類・甲殻類,肉・魚介類の調製品,食品工業廃棄物・飼料,鉄鋼,船舶・浮体構造物,銅・同製品,プラスチック・同製品,電気機器・録音機・テレビ等,アルミニウム・同製品,鉱物燃料・エネルギー（原油・石炭等）,鉱物燃料・エネルギー（原油・石炭等）,一般機械・原子炉・ボイラー等,電気機器・録音機・テレビ等,航空機・宇宙船・同部品,塩・硫黄・土石類・セメント,家具・寝具・照明器具・プレハブ建築,肉・食用屑,酪農品・鳥卵・蜂蜜,プラスチック・同製品,木材・木製品・木炭,タイ,57.0%,イギリス,16.6%,ベトナム,4.0%,バングラデシュ,2.8%,インド,2.5%,フランス,2.5%,Mauritius,2.0%,ドイツ,1.9%,スイス,1.8%,Sri Lanka,1.2%,2024,UN Comtrade / IMF DOTS (2024年)
マルタ,MLT,電気機器・録音機・テレビ等,医薬品,鉱物燃料・エネルギー（原油・石炭等）,書籍・新聞・絵画・印刷物,魚介類・甲殻類,航空機・宇宙船・同部品,一般機械・原子炉・ボイラー等,玩具・遊戯具・運動用具・同部品,光学機器・写真用機器・医療用機器,各種調製食料品,鉱物燃料・エネルギー（原油・石炭等）,船舶・浮体構造物,電気機器・録音機・テレビ等,一般機械・原子炉・ボイラー等,医薬品,航空機・宇宙船・同部品,自動車・同部品,プラスチック・同製品,紙・板紙・製品,家具・寝具・照明器具・プレハブ建築,ドイツ,21.9%,イタリア,7.2%,日本,5.2%,アメリカ,5.0%,ギリシャ,4.5%,イギリス,3.8%,シンガポール,3.7%,香港,3.7%,スイス,2.2%,Libya,2.2%,2024,UN Comtrade / IMF DOTS (2024年)
